id,group,paradigm,task,item,paper,optimization_type,low_level_optimizer,learning_method,code_resource,source_h3,source_h4
ambbo-0133-ada-smode,metabbo,SL,AC,ada-smoDE,"Zhang H, Shi J, Sun J, et al. ""[**A Gradient-based Method for Differential Evolution Parameter Control by Smoothing**](https://dl.acm.org/doi/abs/10.1145/3638530.3654185)"" Proceedings of the Genetic and Evolutionary Computation Conference Companion. (2024).",SOP,DE,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.2 Algorithm Configuration
ambbo-0134-gne,metabbo,SL,SM,GNE,"Ouyang, Kaichen, and Shengwei Fu. ""[**Graph Neural Networks Are Evolutionary Algorithms**](https://arxiv.org/abs/2412.17629)."" arXiv preprint arXiv:2412.17629 (2024).",SOP,EAs,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0135-diffusion-evolution,metabbo,SL,SM,Diffusion Evolution,"Zhang, Yanbo, et al. ""[**Diffusion Models are Evolutionary Algorithms**](https://arxiv.org/abs/2410.02543)"" arXiv preprint arXiv:2410.02543 (2024).",SOP,EAs,-,[Diffusion Evolution](https://github.com/Zhangyanbo/diffusion-evolution),### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0136-rgd,metabbo,SL,SM,RGD,"Beckham, Christopher, et al. ""[**Robust Guided Diffusion for Offline Black-Box Optimization**](https://arxiv.org/abs/2410.00983)"" arXiv preprint arXiv:2410.00983 (2024).",SOP,-,-,[RGD](https://anonymous.4open.science/r/RGD-27A5/README.md),### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0137-glhf,metabbo,SL,SM,GLHF,"Li, Xiaobin, et al. ""[**GLHF: General Learned Evolutionary Algorithm Via Hyper Functions**](https://arxiv.org/abs/2405.03728)."" arXiv preprint arXiv:2405.03728 (2024).",SOP,DE,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0138-evotf,metabbo,SL,SM,EvoTF,"Lange, Robert Tjarko, Yingtao Tian, and Yujin Tang. ""[**Evolution Transformer: In-Context Evolutionary Optimization**](https://arxiv.org/abs/2403.02985)."" arXiv preprint arXiv:2403.02985 (2024).",SOP,-,-,[RobertTLange/evosax](https://github.com/RobertTLange/evosax),### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0139-leo,metabbo,SL,SM,LEO,"Yu, Peiyu, et al. ""[**Latent Energy-Based Odyssey: Black-Box Optimization via Expanded Exploration in the Energy-Based Latent Space**](https://arxiv.org/abs/2405.16730)."" arXiv preprint arXiv:2405.16730 (2024).",SOP,-,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0140-ribbo,metabbo,SL,SM,RIBBO,"Song, Lei, et al. ""[**Reinforced In-Context Black-Box Optimization**](https://arxiv.org/abs/2402.17423)."" arXiv preprint arXiv:2402.17423 (2024).",SOP,-,-,[RIBBO](https://github.com/songlei00/RIBBO),### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0141-nap,metabbo,SL,SM,NAP,"Maraval, Alexandre, et al. ""[**End-to-end meta-Bayesian optimisation with transformer neural processes**](https://proceedings.neurips.cc/paper_files/paper/2023/hash/2561721d0ca69bab22b749cfc4f48f6c-Abstract-Conference.html)."" Advances in Neural Information Processing Systems 36 (2024).",SOP,-,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0142-ddom,metabbo,SL,SM,DDOM,"Krishnamoorthy, Siddarth, Satvik Mehul Mashkaria, and Aditya Grover. ""[**Diffusion models for black-box optimization**](https://proceedings.mlr.press/v202/krishnamoorthy23a.html)"" International Conference on Machine Learning. PMLR, (2023).",SOP,-,-,[DDOM](https://github.com/siddarthk97/ddom),### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0143-b2opt,metabbo,SL,SM,B2Opt,"Li X, Wu K, Zhang X, et al. ""[**B2Opt: Learning to Optimize Black-box Optimization with Little Budget**](https://arxiv.org/abs/2304.11787)"". arXiv preprint arXiv:2304.11787, (2023).",SOP,GA,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0144-rnn-opt,metabbo,SL,SM,RNN-Opt,"TV, Vishnu, et al. ""[**Meta-learning for black-box optimization**](https://link.springer.com/chapter/10.1007/978-3-030-46147-8_22)."" Joint European Conference on Machine Learning and Knowledge Discovery in Databases. (2019).",SOP,-,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0145-rnn-oi,metabbo,SL,SM,RNN-OI,"Chen, Yutian, et al. ""[**Learning to learn without gradient descent by gradient descent**](http://proceedings.mlr.press/v70/chen17e.html)."" International Conference on Machine Learning. PMLR (2017).",SOP,-,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.3 Solution Manipulation
ambbo-0146-metade,metabbo,NE,AC,MetaDE,"Chen, Minyang, Chenchen Feng, and Ran Cheng. ""[**MetaDE: Evolving Differential Evolution by Differential Evolution**](https://ieeexplore.ieee.org/abstract/document/10884874)."" IEEE Transactions on Evolutionary Computation (2025).",SOP,DE,-,[MetaDE](https://github.com/EMI-Group/metade),### 2.3 🧬MetaBBO-NE,#### 2.3.1 Algorithm Configuration
ambbo-0147-lqd,metabbo,NE,AC,LQD,"Faldor, Maxence, Robert Tjarko Lange, and Antoine Cully. ""[**Discovering Quality-Diversity Algorithms via Meta-Black-Box Optimization**](https://arxiv.org/abs/2502.02190)."" arXiv preprint arXiv:2502.02190 (2025).",SOP,QD,-,-,### 2.3 🧬MetaBBO-NE,#### 2.3.1 Algorithm Configuration
ambbo-0148-les,metabbo,NE,AC,LES,"Lange, Robert, et al. ""[**Discovering evolution strategies via meta-black-box optimization**](https://iclr.cc/virtual/2023/poster/11005)."" The Eleventh International Conference on Learning Representations. (2023).",SOP,CMA-ES,-,[LES](https://github.com/RobertTLange/evosax/blob/main/evosax/strategies/les.py),### 2.3 🧬MetaBBO-NE,#### 2.3.1 Algorithm Configuration
ambbo-0149-lga,metabbo,NE,SM,LGA,"Lange, Robert, et al. ""[**Discovering attention-based genetic algorithms via meta-black-box optimization**](https://dl.acm.org/doi/abs/10.1145/3583131.3590496)."" Proceedings of the Genetic and Evolutionary Computation Conference. (2023).",SOP,GA,-,[LGA](https://github.com/RobertTLange/evosax/blob/main/evosax/strategies/lga.py),### 2.3 🧬MetaBBO-NE,#### 2.3.2 Solution Manipulation
ambbo-0150-lto-pomdp,metabbo,NE,SM,LTO-POMDP,"Gomes H S, Léger B, Gagné C. ""[**Meta learning black-box population-based optimizers**](https://arxiv.org/abs/2103.03526)"". arXiv preprint arXiv:2103.03526 (2021).",SOP,-,-,[LTO-POMDP](https://github.com/optimization-toolbox/meta-learning-population-based-optimizers),### 2.3 🧬MetaBBO-NE,#### 2.3.2 Solution Manipulation
ambbo-0151-as-llm,metabbo,ICL,AS,AS-LLM,"Wu, Xingyu, et al. ""[**Large language model-enhanced algorithm selection: towards comprehensive algorithm representation**](https://ira.lib.polyu.edu.hk/handle/10397/108348)."" International Joint Conference on Artificial Intelligence (2024).",SOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.1 Algorithm Selection
ambbo-0152-llmoa,metabbo,ICL,AC,LLMOA,"Zhong, Rui, et al. ""[**LLMOA: A novel large language model assisted hyper-heuristic optimization algorithm**](https://www.sciencedirect.com/science/article/pii/S1474034624006931)."" Advanced Engineering Informatics 64 (2025).",SOP,DE,-,[LLMOA](https://github.com/RuiZhong961230/LLMOA),### 2.4 🧠MetaBBO-ICL,#### 2.4.2 Algorithm Configuration
ambbo-0153-llamea-with-controlled-m,metabbo,ICL,AC,LLaMEA with controlled mutation,"Yin, Haoran, et al. ""[**Controlling the mutation in large language models for the efficient evolution of algorithms**](https://arxiv.org/abs/2412.03250)."" arXiv preprint arXiv:2412.03250 (2024).",SOP,ES,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.2 Algorithm Configuration
ambbo-0154-llmoa,metabbo,ICL,AC,LLMOA,"Zhong, Rui, et al. ""[**LLMOA: A novel large language model assisted hyper-heuristic optimization algorithm**](https://www.sciencedirect.com/science/article/pii/S1474034624006931)."" Advanced Engineering Informatics 64 (2025).",SOP,DE,-,[LLMOA](https://github.com/RuiZhong961230/LLMOA),### 2.4 🧠MetaBBO-ICL,#### 2.4.2 Algorithm Configuration
ambbo-0155-geminide,metabbo,ICL,AC,GeminiDE,"Zhong, Rui, et al. ""[**GeminiDE: A Novel Parameter Adaptation Scheme in Differential Evolution**](https://ieeexplore.ieee.org/document/10704309)."" 2024 6th International Conference on Data-driven Optimization of Complex Systems (DOCS). IEEE, (2024).",SOP,DE,-,[GeminiDE](https://github.com/RuiZhong961230/GeminiDE.),### 2.4 🧠MetaBBO-ICL,#### 2.4.2 Algorithm Configuration
ambbo-0156-remoh,metabbo,ICL,AG,REMoH,"Forniés-Tabuenca, Diego, et al. ""[**REMoH: A Reflective Evolution of Multi-objective Heuristics approach via Large Language Models**](https://arxiv.org/pdf/2506.07759)."" arXiv preprint arXiv:2506.07759 (2025).",MOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0157-llmopt,metabbo,ICL,AG,LLMOPT,"Jiang, Caigao, et al. ""[**LLMOPT: Learning to Define and Solve General Optimization Problems from Scratch**](https://arxiv.org/pdf/2410.13213)"" arXiv preprint arXiv:2410.13213 (2024).",SOP,-,-,[caigaojiang/LLMOPT](https://github.com/caigaojiang/LLMOPT),### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0158-funsearch,metabbo,ICL,AG,FunSearch,"Romera-Paredes B, Barekatain M, Novikov A, et al. ""[**Mathematical discoveries from program search with large language models**](https://www.nature.com/articles/s41586-023-06924-6)"". Nature, (2024).",CO,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0159-llm-eps,metabbo,ICL,AG,LLM-EPS,"Zhang R, Liu F, Lin X, et al. ""[**Understanding the Importance of Evolutionary Search in Automated Heuristic Design with Large Language Models**](https://link.springer.com/chapter/10.1007/978-3-031-70068-2_12)""International Conference on Parallel Problem Solving from Nature. (2024).",-,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0160-llamoco,metabbo,ICL,AG,LLaMoCo,"Ma, Zeyuan, et al. ""[**LLaMoCo: Instruction Tuning of Large Language Models for Optimization Code Generation**](https://arxiv.org/abs/2403.01131)."" arXiv preprint arXiv:2403.01131 (2024).",SOP,-,-,[LLaMoCo-722A](https://anonymous.4open.science/r/LLaMoCo-722A),### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0161-llamea,metabbo,ICL,AG,LLaMEA,"van Stein, Niki, and Thomas Bäck. ""[**LLaMEA: A Large Language Model Evolutionary Algorithm for Automatically Generating Metaheuristics**](https://arxiv.org/abs/2405.20132)."" arXiv preprint arXiv:2405.20132 (2024).",SOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0162-evoprompting,metabbo,ICL,AG,Evoprompting,"Chen, Angelica, David Dohan, and David So. ""[**Evoprompting: Language models for code-level neural architecture search**](https://proceedings.neurips.cc/paper_files/paper/2023/hash/184c1e18d00d7752805324da48ad25be-Abstract-Conference.html)."" Advances in Neural Information Processing Systems 36 (2024).",SOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0163-optimus,metabbo,ICL,AG,OptiMUS,"AhmadiTeshnizi A, Gao W, Udell M. ""[**OptiMUS: Scalable Optimization Modeling with (MI) LP Solvers and Large Language Models**](https://openreview.net/forum?id=YT1dtdLvSN)"" Forty-first International Conference on Machine Learning (2024).",MILP,-,-,[teshnizi/OptiMUS](https://github.com/teshnizi/OptiMUS),### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0164-eoh,metabbo,ICL,AG,EoH,"Liu, Fei, et al. ""[**Evolution of Heuristics: Towards Efficient Automatic Algorithm Design Using Large Language Model**](https://openreview.net/forum?id=BwAkaxqiLB)."" 41st International Conference on Machine Learning (2024).",CO,-,-,[nobodynobodypaper/EoH](https://github.com/nobodynobodypaper/EoH),### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0165-llmopt,metabbo,ICL,AG,LLMOPT,"Huang Y, Wu S, Zhang W, et al. ""[**Autonomous Multi-Objective Optimization Using Large Language Model**](https://ennetix.cloud/?_=%2Fabs%2F2406.08987%23T54G%2B%2F%2FWDHwWKle2kogeMes%3D)"". arXiv preprint arXiv:2406.08987, (2024).",MOOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0166-ael,metabbo,ICL,AG,AEL,"Liu, Fei, et al. ""[**Algorithm evolution using large language model**](https://arxiv.org/abs/2311.15249)."" arXiv preprint arXiv:2311.15249 (2023).",CO,-,-,[AEL](https://paperswithcode.com/paper/algorithm-evolution-using-large-language),### 2.4 🧠MetaBBO-ICL,#### 2.4.3 Algorithm Generation
ambbo-0167-uniso,metabbo,ICL,SM,UniSO,"Tan, Rong-Xi, et al. ""[**Towards Universal Offline Black-Box Optimization via Learning Language Model Embeddings**](https://arxiv.org/pdf/2506.07109)."" arXiv preprint arXiv:2506.07109 (2025).",SOP,-,-,[UniSO](https://github.com/lamda-bbo/universal-offline-bbo),### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0168-model-swarms,metabbo,ICL,SM,Model Swarms,"Feng, Shangbin, et al. ""[**Model Swarms: Collaborative Search to Adapt LLM Experts via Swarm Intelligence**](https://arxiv.org/abs/2410.11163)"" arXiv preprint arXiv:2410.11163 (2024).",SOP,PSO,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0169-evoprompt,metabbo,ICL,SM,EvoPrompt,"Guo, Qingyan, et al. ""[**Connecting large language models with evolutionary algorithms yields powerful prompt optimizers**](https://openreview.net/forum?id=ZG3RaNIsO8)."" The Twelfth International Conference on Learning Representations (2024).",SOP,"GA, DE",-,[beeevita/EvoPrompt](https://github.com/beeevita/EvoPrompt),### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0170-ccmo-llm,metabbo,ICL,SM,CCMO-LLM,"Wang, Zeyi, et al. ""[**Large Language Model-Aided Evolutionary Search for Constrained Multiobjective Optimization**](https://link.springer.com/chapter/10.1007/978-981-97-5581-3_18)."" International Conference on Intelligent Computing (2024).",CMOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0171-leo,metabbo,ICL,SM,LEO,"Brahmachary, Shuvayan, et al. ""[**Large Language Model-Based Evolutionary Optimizer: Reasoning with elitism**](https://arxiv.org/abs/2403.02054)."" arXiv preprint arXiv:2403.02054 (2024).",SOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0172-evollm,metabbo,ICL,SM,EvoLLM,"Lange, Robert Tjarko, Yingtao Tian, and Yujin Tang. ""[**Large Language Models As Evolution Strategies**](https://dl.acm.org/doi/abs/10.1145/3638530.3654238)."" Proceedings of the Genetic and Evolutionary Computation Conference Companion (2024).",SOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0173-lmea,metabbo,ICL,SM,LMEA,"Liu, Shengcai, et al. ""[**Large language models as evolutionary optimizers**](https://arxiv.org/abs/2310.19046)."" IEEE Congress on Evolutionary Computation (2024).",SOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0174-moea-d-llm,metabbo,ICL,SM,MOEA/D-LLM,"Liu, Fei, et al. ""[**Large language model for multi-objective evolutionary optimization**](https://arxiv.org/abs/2310.12541)."" arXiv preprint arXiv:2310.12541 (2023).",MOOP,MOEA/D,-,[MOEA/D-LLM](https://github.com/FeiLiu36/LLM4MOEA),### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0175-opro,metabbo,ICL,SM,OPRO,"Yang, Chengrun, et al. ""[**Large language models as optimizers**](https://arxiv.org/abs/2309.03409)."" arXiv preprint arXiv:2309.03409 (2023).",SOP,-,-,[OPRO](https://github.com/google-deepmind/opro),### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0176-elm,metabbo,ICL,SM,ELM,"Lehman J, Gordon J, Jain S, et al. ""[**Evolution through large models**](https://link.springer.com/chapter/10.1007/978-981-99-3814-8_11)"" Handbook of Evolutionary Machine Learning. (2023).",CO,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0177-tollm,metabbo,ICL,SM,ToLLM,"Guo P F, Chen Y H, Tsai Y D, et al. ""[**Towards optimizing with large language models**](https://arxiv.org/abs/2310.05204)"". arXiv preprint arXiv:2310.05204, (2023).",SOP,-,-,-,### 2.4 🧠MetaBBO-ICL,#### 2.4.4 Solution Manipulation
ambbo-0178-ecdf,others,Other,Evaluation Indicator,ECDF,"López-Ibáñez M, Vermetten D, Dreo J, et al. ""[**Using the empirical attainment function for analyzing single-objective black-box optimization algorithms**](https://arxiv.org/abs/2404.02031)"". arXiv preprint arXiv:2404.02031 (2024).",-,-,-,-,### 3.1📈 Evaluation Indicator,
ambbo-0179-eaf,others,Other,Evaluation Indicator,EAF,"da Fonseca V G, Fonseca C M. ""[**A link between the multivariate cumulative distribution function and the hitting function for random closed sets**](https://www.sciencedirect.com/science/article/pii/S0167715202000469)"". Statistics & probability letters (2002).",-,-,-,-,### 3.1📈 Evaluation Indicator,
ambbo-0180-las,others,Other,Landscape Feature,LAS,"Liu F, Zhang Q, Tong X, et al. ""[**Fitness Landscape of Large Language Model-Assisted Automated Algorithm Search**](https://arxiv.org/pdf/2504.19636)"". arXiv preprint arXiv:2504.19636, (2025).",-,-,-,-,### 3.2📊 Landscape Feature,
ambbo-0181-neurela,others,Other,Landscape Feature,NeurELA,"Ma Z, Chen J, Guo H, et al. ""[**Neural Exploratory Landscape Analysis**](https://arxiv.org/abs/2408.10672)"". arXiv preprint arXiv:2408.10672 (2024).",-,-,-,-,### 3.2📊 Landscape Feature,
ambbo-0182-doe2vec,others,Other,Landscape Feature,DoE2Vec,"van Stein B, Long F X, Frenzel M, et al. ""[**Doe2vec: Deep-learning based features for exploratory landscape analysis**](https://dl.acm.org/doi/abs/10.1145/3583133.3590609)"" Proceedings of the Companion Conference on Genetic and Evolutionary Computation. (2023).",-,-,-,-,### 3.2📊 Landscape Feature,
ambbo-0183-transopt,others,Other,Landscape Feature,TransOpt,"Cenikj G, Petelin G, Eftimov T. ""[**TransOptAS: Transformer-Based Algorithm Selection for Single-Objective Optimization**](https://dl.acm.org/doi/abs/10.1145/3638530.3654191)"" Proceedings of the Genetic and Evolutionary Computation Conference Companion. (2024).",-,-,-,-,### 3.2📊 Landscape Feature,
ambbo-0184-deep-ela,others,Other,Landscape Feature,Deep ELA,"Seiler M V, Kerschke P, Trautmann H. ""[**Deep-ELA: Deep Exploratory Landscape Analysis with Self-Supervised Pretrained Transformers for Single-and Multi-Objective Continuous Optimization Problems**](https://arxiv.org/abs/2401.01192)"". arXiv preprint arXiv:2401.01192 (2024).",-,-,-,-,### 3.2📊 Landscape Feature,
ambbo-0185-lvsc-ela,others,Other,Landscape Feature,LvsC ELA,"Seiler M, Škvorc U, Cenikj G, et al. ""[**Learned Features vs. Classical ELA on Affine BBOB Functions**](https://link.springer.com/chapter/10.1007/978-3-031-70068-2_9)"" International Conference on Parallel Problem Solving from Nature.  (2024).",-,-,-,-,### 3.2📊 Landscape Feature,
ambbo-0186-comparable-feature,others,Other,Landscape Feature,Comparable Feature,"Long F X, Vermetten D, van Stein B, et al. ""[**BBOB instance analysis: Landscape properties and algorithm performance across problem instances**](https://link.springer.com/chapter/10.1007/978-3-031-30229-9_25)"" International Conference on the Applications of Evolutionary Computation.  (2023).",-,-,-,-,### 3.2📊 Landscape Feature,
ambbo-0187-isa,others,Other,Landscape Feature,ISA,"Smith-Miles K, Muñoz M A. ""[**Instance space analysis for algorithm testing: Methodology and software tools**](https://dl.acm.org/doi/abs/10.1145/3572895)"". ACM Computing Surveys (2023).",-,-,-,-,### 3.2📊 Landscape Feature,
ambbo-0188-ela,others,Other,Landscape Feature,ELA,"Mersmann O, Bischl B, Trautmann H, et al. ""[**Exploratory landscape analysis**](https://dl.acm.org/doi/abs/10.1145/2001576.2001690)"" Proceedings of the 13th annual conference on Genetic and evolutionary computation. (2011).",-,-,-,-,### 3.2📊 Landscape Feature,
ambbo-0189-hvrp-mtwstt,others,Other,Application,HVRP-MTWSTT,"Nguyen D V A, Gunawan A, Misir M, et al. ""[**Deep reinforcement learning for solving the stochastic e-waste collection problem**](https://www.sciencedirect.com/science/article/abs/pii/S0377221725003182)"". European Journal of Operational Research, 2025.",e-waste collection problems,-,Meta-RL,-,### 3.3🛠 Application,
ambbo-0190-rpso,others,Other,Application,RPSO,"Zhang, Zihang, et al. ""[**Reinforcement learning-based particle swarm optimization for wind farm layout problems**](https://www.sciencedirect.com/science/article/pii/S0360544224038283)."" Energy 313 (2024).",Wind farm layout problems,-,Meta-RL,[RPSO](https://toyamaailab.github.io/),### 3.3🛠 Application,
ambbo-0191-the-investigation-of-the,others,Other,Application,The investigation of the ability of OpenAI-ES,"Lorenc, Matyáš. ""[**Utilizing Evolution Strategies to Train Transformers in Reinforcement Learning**](https://arxiv.org/abs/2501.13883)."" arXiv preprint arXiv:2501.13883 (2025).",Training of Networks,-,-,[Code](https://github.com/Mafi412/Evolution-Strategies-and-Decision-Transformers),### 3.3🛠 Application,
ambbo-0192-dqlga,others,Other,Application,DQLGA,"Q. Chen and W. Ding, ""[**A Genetic Algorithm Based on Deep Q-learning in Optimization of Remote Sensing Data Discretization**](https://ieeexplore.ieee.org/document/10730790)"" IEEE Transactions on Evolutionary Computation (2024)",Remote Sensing,-,Meta-RL,-,### 3.3🛠 Application,
ambbo-0193-dqn-based-nsga-ii,others,Other,Application,DQN-Based NSGA-II,"Pei, C. H. I., et al. ""[**Dynamic effect web generation for heterogeneous UAV cluster using DQN-based NSGA-II: Methods and applications**](https://www.sciencedirect.com/science/article/pii/S1000936124005077)."" Chinese Journal of Aeronautics (2024)",Unmanned Aerial Vehicles,-,Meta-RL,-,### 3.3🛠 Application,
